XY
	CURVE (PWRCHARGE_#1.DTA)
2.774e-005	8.344e-001
5.548e-005	8.772e-001
8.322e-005	8.900e-001
1.110e-004	8.968e-001
1.387e-004	9.011e-001
1.664e-004	9.039e-001
1.942e-004	9.058e-001
2.219e-004	9.074e-001
2.496e-004	9.087e-001
2.774e-004	9.097e-001
3.051e-004	9.107e-001
3.329e-004	9.114e-001
3.606e-004	9.122e-001
3.883e-004	9.127e-001
4.161e-004	9.135e-001
4.438e-004	9.142e-001
4.716e-004	9.150e-001
4.993e-004	9.155e-001
5.270e-004	9.162e-001
5.548e-004	9.168e-001
5.825e-004	9.174e-001
6.102e-004	9.182e-001
6.380e-004	9.190e-001
6.657e-004	9.198e-001
6.935e-004	9.204e-001
7.212e-004	9.210e-001
7.489e-004	9.216e-001
7.767e-004	9.221e-001
8.044e-004	9.228e-001
8.322e-004	9.234e-001
8.599e-004	9.240e-001
8.876e-004	9.245e-001
9.154e-004	9.250e-001
9.431e-004	9.255e-001
9.709e-004	9.260e-001
9.986e-004	9.266e-001
1.026e-003	9.271e-001
1.054e-003	9.277e-001
1.082e-003	9.282e-001
1.110e-003	9.286e-001
1.137e-003	9.291e-001
1.165e-003	9.296e-001
1.193e-003	9.300e-001
1.220e-003	9.305e-001
1.248e-003	9.310e-001
1.276e-003	9.314e-001
1.304e-003	9.318e-001
1.331e-003	9.323e-001
1.359e-003	9.328e-001
1.387e-003	9.332e-001
1.415e-003	9.336e-001
1.442e-003	9.341e-001
1.470e-003	9.345e-001
1.498e-003	9.348e-001
1.526e-003	9.351e-001
1.553e-003	9.357e-001
1.581e-003	9.361e-001
1.609e-003	9.363e-001
1.637e-003	9.367e-001
1.664e-003	9.372e-001
1.692e-003	9.377e-001
1.720e-003	9.381e-001
1.748e-003	9.385e-001
1.775e-003	9.390e-001
1.803e-003	9.394e-001
1.831e-003	9.398e-001
1.858e-003	9.402e-001
1.886e-003	9.407e-001
1.914e-003	9.410e-001
1.942e-003	9.413e-001
1.969e-003	9.417e-001
1.997e-003	9.423e-001
2.025e-003	9.427e-001
2.053e-003	9.431e-001
2.080e-003	9.435e-001
2.108e-003	9.440e-001
2.136e-003	9.443e-001
2.164e-003	9.448e-001
2.191e-003	9.454e-001
2.219e-003	9.458e-001
2.247e-003	9.462e-001
2.275e-003	9.466e-001
2.302e-003	9.472e-001
2.330e-003	9.475e-001
2.358e-003	9.479e-001
2.386e-003	9.484e-001
2.413e-003	9.489e-001
2.441e-003	9.493e-001
2.469e-003	9.496e-001
2.496e-003	9.501e-001
2.524e-003	9.505e-001
2.552e-003	9.510e-001
2.580e-003	9.514e-001
2.607e-003	9.519e-001
2.635e-003	9.523e-001
2.663e-003	9.527e-001
2.691e-003	9.532e-001
2.718e-003	9.537e-001
2.746e-003	9.542e-001
2.774e-003	9.545e-001
2.802e-003	9.549e-001
2.829e-003	9.553e-001
2.857e-003	9.557e-001
2.885e-003	9.561e-001
2.913e-003	9.566e-001
2.940e-003	9.570e-001
2.968e-003	9.573e-001
2.996e-003	9.576e-001
3.024e-003	9.581e-001
3.051e-003	9.585e-001
3.079e-003	9.590e-001
3.107e-003	9.596e-001
3.134e-003	9.601e-001
3.162e-003	9.605e-001
3.190e-003	9.609e-001
3.218e-003	9.617e-001
3.245e-003	9.619e-001
3.273e-003	9.623e-001
3.301e-003	9.628e-001
