XY
	CURVE (PWRDISCHARGE_#1.DTA)
-2.780e-005	6.697e-001
-5.560e-005	6.083e-001
-8.340e-005	5.770e-001
-1.112e-004	5.601e-001
-1.390e-004	5.503e-001
-1.668e-004	5.441e-001
-1.946e-004	5.398e-001
-2.224e-004	5.366e-001
-2.502e-004	5.344e-001
-2.780e-004	5.322e-001
-3.058e-004	5.304e-001
-3.336e-004	5.285e-001
-3.614e-004	5.264e-001
-3.892e-004	5.243e-001
-4.170e-004	5.221e-001
-4.448e-004	5.200e-001
-4.726e-004	5.178e-001
-5.004e-004	5.157e-001
-5.282e-004	5.140e-001
-5.560e-004	5.122e-001
-5.838e-004	5.105e-001
-6.116e-004	5.089e-001
-6.394e-004	5.074e-001
-6.672e-004	5.061e-001
-6.950e-004	5.047e-001
-7.228e-004	5.034e-001
-7.506e-004	5.022e-001
-7.784e-004	5.011e-001
-8.062e-004	5.003e-001
-8.340e-004	4.992e-001
-8.618e-004	4.981e-001
-8.896e-004	4.971e-001
-9.174e-004	4.963e-001
-9.452e-004	4.953e-001
-9.730e-004	4.943e-001
-1.001e-003	4.935e-001
-1.029e-003	4.929e-001
-1.056e-003	4.922e-001
-1.084e-003	4.915e-001
-1.112e-003	4.907e-001
-1.140e-003	4.900e-001
-1.168e-003	4.893e-001
-1.195e-003	4.887e-001
-1.223e-003	4.882e-001
-1.251e-003	4.876e-001
-1.279e-003	4.871e-001
-1.307e-003	4.865e-001
-1.334e-003	4.862e-001
-1.362e-003	4.858e-001
-1.390e-003	4.851e-001
-1.418e-003	4.846e-001
-1.446e-003	4.842e-001
-1.473e-003	4.836e-001
-1.501e-003	4.831e-001
-1.529e-003	4.827e-001
-1.557e-003	4.822e-001
-1.585e-003	4.818e-001
-1.612e-003	4.815e-001
-1.640e-003	4.812e-001
-1.668e-003	4.807e-001
-1.696e-003	4.804e-001
-1.724e-003	4.801e-001
-1.751e-003	4.796e-001
-1.779e-003	4.791e-001
-1.807e-003	4.789e-001
-1.835e-003	4.786e-001
-1.863e-003	4.782e-001
-1.890e-003	4.777e-001
-1.918e-003	4.774e-001
-1.946e-003	4.770e-001
-1.974e-003	4.768e-001
-2.002e-003	4.765e-001
-2.029e-003	4.761e-001
-2.057e-003	4.758e-001
-2.085e-003	4.756e-001
-2.113e-003	4.754e-001
-2.141e-003	4.753e-001
-2.168e-003	4.750e-001
-2.196e-003	4.745e-001
-2.224e-003	4.743e-001
-2.252e-003	4.740e-001
-2.280e-003	4.738e-001
-2.307e-003	4.737e-001
-2.335e-003	4.735e-001
-2.363e-003	4.732e-001
-2.391e-003	4.728e-001
-2.419e-003	4.723e-001
-2.446e-003	4.722e-001
-2.474e-003	4.720e-001
-2.502e-003	4.717e-001
-2.530e-003	4.714e-001
-2.558e-003	4.712e-001
-2.585e-003	4.710e-001
-2.613e-003	4.706e-001
-2.641e-003	4.704e-001
-2.669e-003	4.701e-001
-2.697e-003	4.702e-001
-2.724e-003	4.700e-001
-2.752e-003	4.697e-001
-2.780e-003	4.694e-001
-2.808e-003	4.692e-001
-2.836e-003	4.688e-001
-2.863e-003	4.685e-001
-2.891e-003	4.684e-001
-2.919e-003	4.682e-001
-2.947e-003	4.680e-001
-2.975e-003	4.678e-001
-3.002e-003	4.675e-001
-3.030e-003	4.673e-001
-3.058e-003	4.669e-001
-3.086e-003	4.667e-001
-3.114e-003	4.665e-001
-3.141e-003	4.664e-001
-3.169e-003	4.663e-001
-3.197e-003	4.661e-001
-3.225e-003	4.657e-001
-3.253e-003	4.652e-001
-3.280e-003	4.649e-001
-3.308e-003	4.648e-001
-3.336e-003	4.647e-001
-3.364e-003	4.646e-001
-3.392e-003	4.644e-001
-3.419e-003	4.642e-001
-3.447e-003	4.641e-001
-3.475e-003	4.638e-001
-3.503e-003	4.635e-001
-3.531e-003	4.632e-001
-3.558e-003	4.629e-001
-3.586e-003	4.627e-001
-3.614e-003	4.627e-001
-3.642e-003	4.625e-001
-3.670e-003	4.625e-001
-3.697e-003	4.621e-001
-3.725e-003	4.618e-001
-3.753e-003	4.616e-001
-3.781e-003	4.615e-001
-3.809e-003	4.614e-001
-3.836e-003	4.612e-001
-3.864e-003	4.610e-001
-3.892e-003	4.610e-001
-3.920e-003	4.608e-001
-3.948e-003	4.607e-001
-3.975e-003	4.605e-001
-4.003e-003	4.603e-001
-4.031e-003	4.602e-001
-4.059e-003	4.601e-001
-4.087e-003	4.599e-001
-4.114e-003	4.597e-001
-4.142e-003	4.595e-001
-4.170e-003	4.594e-001
-4.198e-003	4.592e-001
-4.226e-003	4.588e-001
-4.253e-003	4.586e-001
-4.281e-003	4.584e-001
-4.309e-003	4.581e-001
-4.337e-003	4.578e-001
-4.365e-003	4.578e-001
-4.392e-003	4.576e-001
-4.420e-003	4.574e-001
-4.448e-003	4.573e-001
-4.476e-003	4.569e-001
-4.504e-003	4.568e-001
-4.531e-003	4.567e-001
-4.559e-003	4.566e-001
-4.587e-003	4.565e-001
-4.615e-003	4.562e-001
-4.643e-003	4.560e-001
-4.670e-003	4.557e-001
-4.698e-003	4.554e-001
-4.726e-003	4.554e-001
-4.754e-003	4.552e-001
-4.782e-003	4.548e-001
-4.809e-003	4.547e-001
-4.837e-003	4.545e-001
-4.865e-003	4.544e-001
-4.893e-003	4.542e-001
-4.921e-003	4.540e-001
-4.948e-003	4.537e-001
-4.976e-003	4.536e-001
-5.004e-003	4.534e-001
-5.032e-003	4.531e-001
-5.060e-003	4.530e-001
-5.087e-003	4.528e-001
-5.115e-003	4.526e-001
-5.143e-003	4.523e-001
-5.171e-003	4.520e-001
-5.199e-003	4.518e-001
-5.226e-003	4.518e-001
-5.254e-003	4.515e-001
-5.282e-003	4.513e-001
-5.310e-003	4.512e-001
-5.338e-003	4.510e-001
-5.366e-003	4.509e-001
-5.393e-003	4.506e-001
-5.421e-003	4.505e-001
-5.449e-003	4.503e-001
-5.477e-003	4.502e-001
-5.505e-003	4.500e-001
-5.532e-003	4.498e-001
-5.560e-003	4.495e-001
-5.588e-003	4.491e-001
-5.616e-003	4.488e-001
-5.644e-003	4.486e-001
-5.671e-003	4.484e-001
-5.699e-003	4.484e-001
-5.727e-003	4.482e-001
-5.755e-003	4.480e-001
-5.783e-003	4.477e-001
-5.810e-003	4.473e-001
-5.838e-003	4.471e-001
-5.866e-003	4.471e-001
-5.894e-003	4.471e-001
-5.922e-003	4.468e-001
-5.949e-003	4.466e-001
-5.977e-003	4.466e-001
-6.005e-003	4.465e-001
-6.033e-003	4.464e-001
-6.061e-003	4.462e-001
-6.088e-003	4.460e-001
-6.116e-003	4.458e-001
-6.144e-003	4.455e-001
-6.172e-003	4.453e-001
-6.200e-003	4.450e-001
-6.227e-003	4.447e-001
-6.255e-003	4.445e-001
-6.283e-003	4.443e-001
-6.311e-003	4.440e-001
-6.339e-003	4.438e-001
-6.366e-003	4.437e-001
-6.394e-003	4.434e-001
-6.422e-003	4.432e-001
-6.450e-003	4.431e-001
-6.478e-003	4.430e-001
-6.505e-003	4.429e-001
-6.533e-003	4.427e-001
-6.561e-003	4.425e-001
-6.589e-003	4.423e-001
-6.617e-003	4.419e-001
-6.644e-003	4.417e-001
-6.672e-003	4.416e-001
-6.700e-003	4.414e-001
-6.728e-003	4.412e-001
-6.756e-003	4.412e-001
-6.783e-003	4.409e-001
-6.811e-003	4.406e-001
-6.839e-003	4.403e-001
-6.867e-003	4.401e-001
-6.895e-003	4.399e-001
-6.922e-003	4.398e-001
-6.950e-003	4.393e-001
-6.978e-003	4.389e-001
-7.006e-003	4.387e-001
-7.034e-003	4.387e-001
-7.061e-003	4.386e-001
-7.089e-003	4.385e-001
-7.117e-003	4.383e-001
-7.145e-003	4.380e-001
-7.173e-003	4.378e-001
-7.200e-003	4.377e-001
-7.228e-003	4.375e-001
-7.256e-003	4.374e-001
-7.284e-003	4.371e-001
-7.312e-003	4.368e-001
-7.339e-003	4.364e-001
-7.367e-003	4.360e-001
-7.395e-003	4.359e-001
-7.423e-003	4.359e-001
-7.451e-003	4.359e-001
-7.478e-003	4.356e-001
-7.506e-003	4.354e-001
-7.534e-003	4.352e-001
-7.562e-003	4.349e-001
-7.590e-003	4.346e-001
-7.617e-003	4.345e-001
-7.645e-003	4.341e-001
-7.673e-003	4.338e-001
-7.701e-003	4.338e-001
-7.729e-003	4.337e-001
-7.756e-003	4.332e-001
-7.784e-003	4.329e-001
-7.812e-003	4.328e-001
-7.840e-003	4.326e-001
-7.868e-003	4.323e-001
-7.895e-003	4.321e-001
-7.923e-003	4.317e-001
-7.951e-003	4.315e-001
-7.979e-003	4.314e-001
-8.007e-003	4.312e-001
-8.034e-003	4.311e-001
-8.062e-003	4.309e-001
-8.090e-003	4.306e-001
-8.118e-003	4.303e-001
-8.146e-003	4.303e-001
-8.173e-003	4.300e-001
-8.201e-003	4.298e-001
-8.229e-003	4.295e-001
-8.257e-003	4.292e-001
-8.285e-003	4.290e-001
-8.312e-003	4.288e-001
-8.340e-003	4.284e-001
-8.368e-003	4.281e-001
-8.396e-003	4.277e-001
-8.424e-003	4.275e-001
-8.451e-003	4.274e-001
-8.479e-003	4.270e-001
-8.507e-003	4.268e-001
-8.535e-003	4.264e-001
-8.563e-003	4.263e-001
-8.590e-003	4.262e-001
-8.618e-003	4.259e-001
-8.646e-003	4.258e-001
-8.674e-003	4.257e-001
-8.702e-003	4.255e-001
-8.729e-003	4.251e-001
-8.757e-003	4.249e-001
-8.785e-003	4.246e-001
-8.813e-003	4.244e-001
-8.841e-003	4.242e-001
-8.868e-003	4.242e-001
-8.896e-003	4.238e-001
-8.924e-003	4.233e-001
-8.952e-003	4.230e-001
-8.980e-003	4.229e-001
-9.007e-003	4.228e-001
