XY
	CURVE1 (new-5mmolar-14btmapaq-CV-co2-100mvps.DTA)[BKS]		CURVE2 (new-5mmolar-14btmapaq-CV-co2-100mvps.DTA)[BKS]
-2.604e-001	-5.723e-006		
-2.644e-001	-5.425e-006		
-2.684e-001	-6.198e-006		
-2.724e-001	-6.555e-006		
-2.764e-001	-6.568e-006		
-2.804e-001	-7.696e-006		
-2.843e-001	-7.541e-006		
-2.883e-001	-8.473e-006		
-2.923e-001	-9.004e-006		
-2.963e-001	-9.180e-006		
-3.003e-001	-1.043e-005		
-3.043e-001	-1.043e-005		
-3.083e-001	-1.150e-005		
-3.123e-001	-1.212e-005		
-3.163e-001	-1.238e-005		
-3.203e-001	-1.371e-005		
-3.242e-001	-1.373e-005		
-3.282e-001	-1.478e-005		
-3.322e-001	-1.539e-005		
-3.362e-001	-1.566e-005		
-3.402e-001	-1.694e-005		
-3.442e-001	-1.684e-005		
-3.482e-001	-1.780e-005		
-3.522e-001	-1.829e-005		
-3.562e-001	-1.835e-005		
-3.602e-001	-1.943e-005		
-3.642e-001	-1.919e-005		
-3.682e-001	-1.998e-005		
-3.721e-001	-2.026e-005		
-3.761e-001	-2.016e-005		
-3.801e-001	-2.108e-005		
-3.841e-001	-2.066e-005		
-3.881e-001	-2.129e-005		
-3.921e-001	-2.141e-005		
-3.960e-001	-2.115e-005		
-4.001e-001	-2.193e-005		
-4.041e-001	-2.139e-005		
-4.081e-001	-2.189e-005		
-4.121e-001	-2.195e-005		
-4.161e-001	-2.162e-005		
-4.200e-001	-2.233e-005		
-4.240e-001	-2.177e-005		
-4.280e-001	-2.223e-005		
-4.320e-001	-2.231e-005		
-4.360e-001	-2.195e-005		
-4.400e-001	-2.258e-005		
-4.444e-001	-2.205e-005		
-4.484e-001	-2.233e-005		
-4.524e-001	-2.221e-005		
-4.564e-001	-2.172e-005		
-4.604e-001	-2.229e-005		
-4.644e-001	-2.157e-005		
-4.683e-001	-2.195e-005		
-4.724e-001	-2.188e-005		
-4.763e-001	-2.146e-005		
-4.803e-001	-2.216e-005		
-4.843e-001	-2.158e-005		
-4.883e-001	-2.216e-005		
-4.923e-001	-2.236e-005		
-4.963e-001	-2.232e-005		
-5.003e-001	-2.350e-005		
-5.043e-001	-2.353e-005		
-5.083e-001	-2.484e-005		
-5.123e-001	-2.593e-005		
-5.163e-001	-2.700e-005		
-5.203e-001	-2.946e-005		
-5.243e-001	-3.106e-005		
-5.283e-001	-3.414e-005		
-5.323e-001	-3.727e-005		
-5.363e-001	-4.051e-005		
-5.403e-001	-4.541e-005		
-5.443e-001	-4.954e-005		
-5.483e-001	-5.524e-005		
-5.522e-001	-6.097e-005		
-5.562e-001	-6.684e-005		
-5.602e-001	-7.414e-005		
-5.642e-001	-8.048e-005		
-5.682e-001	-8.813e-005		
-5.722e-001	-9.551e-005		
-5.762e-001	-1.026e-004		
-5.802e-001	-1.108e-004		
-5.842e-001	-1.176e-004		
-5.882e-001	-1.253e-004		
-5.921e-001	-1.324e-004		
-5.961e-001	-1.391e-004		
-6.001e-001	-1.463e-004		
-6.041e-001	-1.522e-004		
-6.081e-001	-1.591e-004		
-6.120e-001	-1.650e-004		
-6.160e-001	-1.701e-004		
-6.199e-001	-1.760e-004		
-6.241e-001	-1.802e-004		
-6.280e-001	-1.852e-004		
-6.320e-001	-1.894e-004		
-6.359e-001	-1.929e-004		
-6.400e-001	-1.971e-004		
-6.439e-001	-1.996e-004		
-6.480e-001	-2.027e-004		
-6.518e-001	-2.049e-004		
-6.560e-001	-2.061e-004		
-6.599e-001	-2.078e-004		
-6.640e-001	-2.077e-004		
-6.678e-001	-2.081e-004		
-6.720e-001	-2.075e-004		
-6.758e-001	-2.059e-004		
-6.799e-001	-2.049e-004		
-6.839e-001	-2.022e-004		
-6.880e-001	-2.002e-004		
-6.918e-001	-1.975e-004		
-6.960e-001	-1.942e-004		
-6.998e-001	-1.923e-004		
-7.039e-001	-1.891e-004		
-7.079e-001	-1.860e-004		
-7.120e-001	-1.826e-004		
-7.159e-001	-1.791e-004		
-7.200e-001	-1.768e-004		
-7.238e-001	-1.731e-004		
-7.280e-001	-1.705e-004		
-7.319e-001	-1.690e-004		
-7.360e-001	-1.692e-004		
-7.399e-001	-1.664e-004		
-7.440e-001	-1.619e-004		
-7.478e-001	-1.591e-004		
-7.520e-001	-1.567e-004		
-7.559e-001	-1.541e-004		
-7.599e-001	-1.522e-004		
-7.639e-001	-1.493e-004		
-7.679e-001	-1.476e-004		
-7.718e-001	-1.461e-004		
-7.760e-001	-1.440e-004		
-7.798e-001	-1.427e-004		
-7.839e-001	-1.401e-004		
-7.879e-001	-1.387e-004		
-7.920e-001	-1.370e-004		
-7.958e-001	-1.350e-004		
-8.000e-001	-1.341e-004		
-8.038e-001	-1.319e-004		
-8.079e-001	-1.311e-004		
-8.119e-001	-1.297e-004		
-8.160e-001	-1.280e-004		
-8.198e-001	-1.273e-004		
-8.239e-001	-1.253e-004		
-8.278e-001	-1.245e-004		
-8.319e-001	-1.234e-004		
-8.358e-001	-1.220e-004		
-8.399e-001	-1.214e-004		
-8.438e-001	-1.197e-004		
-8.479e-001	-1.192e-004		
-8.518e-001	-1.189e-004		
-8.559e-001	-1.202e-004		
-8.598e-001	-1.212e-004		
-8.639e-001	-1.184e-004		
-8.678e-001	-1.169e-004		
-8.719e-001	-1.155e-004		
-8.758e-001	-1.143e-004		
-8.799e-001	-1.137e-004		
-8.838e-001	-1.118e-004		
-8.879e-001	-1.113e-004		
-8.918e-001	-1.104e-004		
-8.959e-001	-1.092e-004		
-8.998e-001	-1.091e-004		
-9.039e-001	-1.077e-004		
-9.078e-001	-1.073e-004		
-9.118e-001	-1.065e-004		
-9.158e-001	-1.055e-004		
-9.198e-001	-1.055e-004		
-9.238e-001	-1.042e-004		
-9.278e-001	-1.039e-004		
