XY
	CURVE1 (new-5mmolar-15btmapaq-CV-co2-100mvps.DTA)[BKS]		CURVE2 (new-5mmolar-15btmapaq-CV-co2-100mvps.DTA)[BKS]
4.988e-001	1.530e-005	4.988e-001	2.116e-005
4.948e-001	1.017e-005		
4.907e-001	7.370e-006		
4.868e-001	5.240e-006		
4.828e-001	4.459e-006		
4.788e-001	3.235e-006		
4.748e-001	2.659e-006		
4.708e-001	2.385e-006		
4.669e-001	1.606e-006		
4.628e-001	1.712e-006		
4.589e-001	1.172e-006		
4.549e-001	1.006e-006		
4.509e-001	1.049e-006		
4.469e-001	5.200e-007		
4.429e-001	8.117e-007		
4.389e-001	3.919e-007		
4.349e-001	3.470e-007		
4.309e-001	4.779e-007		
4.269e-001	3.540e-008		
4.229e-001	3.723e-007		
4.189e-001	7.198e-009		
4.149e-001	1.202e-008		
4.109e-001	1.848e-007		
4.069e-001	-2.362e-007		
4.029e-001	1.533e-007		
3.989e-001	-1.939e-007		
3.949e-001	-1.624e-007		
3.909e-001	2.772e-008		
3.869e-001	-3.608e-007		
3.830e-001	3.915e-008		
3.790e-001	-2.873e-007		
3.750e-001	-2.514e-007		
3.710e-001	-4.819e-008		
3.670e-001	-4.299e-007		
3.630e-001	-2.176e-008		
3.590e-001	-3.415e-007		
3.550e-001	-2.880e-007		
3.510e-001	-7.976e-008		
3.470e-001	-4.740e-007		
3.430e-001	-4.387e-008		
3.390e-001	-3.793e-007		
3.350e-001	-3.274e-007		
3.310e-001	-1.118e-007		
3.270e-001	-5.114e-007		
3.230e-001	-8.954e-008		
3.190e-001	-4.252e-007		
3.150e-001	-3.717e-007		
3.110e-001	-1.501e-007		
3.070e-001	-5.530e-007		
3.030e-001	-1.333e-007		
2.990e-001	-4.654e-007		
2.951e-001	-4.218e-007		
2.910e-001	-2.021e-007		
2.870e-001	-6.094e-007		
2.830e-001	-1.871e-007		
2.790e-001	-5.209e-007		
2.750e-001	-4.697e-007		
2.710e-001	-2.521e-007		
