XY
	CURVE1 (new-5mmolar-18btmapaq-CV-co2-100mvps.DTA)[BKS]		CURVE2 (new-5mmolar-18btmapaq-CV-co2-100mvps.DTA)[BKS]
4.989e-001	8.453e-006	4.987e-001	1.101e-005
4.948e-001	5.703e-006		
4.908e-001	4.200e-006		
4.868e-001	3.320e-006		
4.829e-001	2.702e-006		
4.789e-001	2.263e-006		
4.749e-001	1.965e-006		
4.709e-001	1.675e-006		
4.669e-001	1.502e-006		
4.629e-001	1.311e-006		
4.589e-001	1.175e-006		
4.549e-001	1.073e-006		
4.509e-001	9.432e-007		
4.469e-001	8.672e-007		
4.429e-001	8.021e-007		
4.389e-001	7.268e-007		
4.350e-001	6.856e-007		
4.310e-001	6.118e-007		
4.270e-001	5.711e-007		
4.230e-001	5.291e-007		
4.189e-001	4.835e-007		
4.150e-001	4.642e-007		
4.110e-001	4.189e-007		
4.070e-001	3.952e-007		
4.030e-001	3.795e-007		
3.990e-001	3.458e-007		
3.950e-001	3.428e-007		
3.910e-001	3.098e-007		
3.870e-001	2.881e-007		
3.830e-001	2.973e-007		
3.790e-001	2.581e-007		
3.750e-001	2.567e-007		
3.710e-001	2.429e-007		
3.670e-001	2.211e-007		
3.630e-001	2.390e-007		
3.590e-001	1.955e-007		
3.550e-001	1.973e-007		
3.510e-001	2.046e-007		
3.470e-001	1.678e-007		
3.430e-001	1.913e-007		
3.390e-001	1.572e-007		
3.350e-001	1.556e-007		
3.310e-001	1.640e-007		
3.270e-001	1.381e-007		
3.230e-001	1.612e-007		
3.190e-001	1.194e-007		
3.150e-001	1.168e-007		
3.110e-001	1.387e-007		
3.070e-001	9.671e-008		
3.030e-001	1.287e-007		
2.990e-001	1.053e-007		
2.950e-001	8.714e-008		
2.910e-001	1.172e-007		
2.871e-001	6.538e-008		
2.830e-001	9.182e-008		
2.791e-001	6.840e-008		
2.751e-001	5.922e-008		
2.710e-001	9.505e-008		
2.671e-001	3.508e-008		
2.631e-001	8.132e-008		
2.591e-001	3.921e-008		
2.551e-001	2.552e-008		
2.511e-001	6.477e-008		
2.471e-001	-2.083e-009		
2.431e-001	4.693e-008		
2.391e-001	-5.098e-009		
2.351e-001	-1.822e-008		
2.311e-001	2.242e-008		
2.271e-001	-4.784e-008		
2.231e-001	1.655e-009		
2.191e-001	-4.649e-008		
2.151e-001	-6.772e-008		
2.111e-001	-1.876e-008		
2.071e-001	-9.425e-008		
2.031e-001	-3.625e-008		
1.991e-001	-1.002e-007		
1.951e-001	-1.249e-007		
1.912e-001	-6.427e-008		
1.872e-001	-1.512e-007		
1.831e-001	-8.338e-008		
1.792e-001	-1.436e-007		
1.752e-001	-1.710e-007		
1.712e-001	-1.018e-007		
1.671e-001	-1.991e-007		
1.632e-001	-1.184e-007		
1.592e-001	-1.863e-007		
1.552e-001	-2.064e-007		
1.512e-001	-1.446e-007		
1.472e-001	-2.363e-007		
1.432e-001	-1.646e-007		
1.392e-001	-2.234e-007		
1.352e-001	-2.598e-007		
1.312e-001	-1.804e-007		
1.272e-001	-2.765e-007		
1.232e-001	-2.010e-007		
1.192e-001	-2.718e-007		
1.152e-001	-3.065e-007		
1.112e-001	-2.236e-007		
1.072e-001	-3.444e-007		
1.032e-001	-2.380e-007		
9.922e-002	-3.339e-007		
9.528e-002	-3.509e-007		
9.119e-002	-2.790e-007		
8.726e-002	-4.007e-007		
8.322e-002	-3.049e-007		
7.925e-002	-3.867e-007		
7.526e-002	-4.166e-007		
7.129e-002	-3.334e-007		
