XY
	CURVE (PWRCHARGE_#1.DTA)
5.552e-005	9.427e-001
1.110e-004	9.854e-001
1.666e-004	9.991e-001
2.221e-004	1.007e+000
2.776e-004	1.012e+000
3.331e-004	1.016e+000
3.886e-004	1.018e+000
4.442e-004	1.020e+000
4.997e-004	1.022e+000
5.552e-004	1.024e+000
6.107e-004	1.025e+000
6.662e-004	1.026e+000
7.217e-004	1.027e+000
7.773e-004	1.028e+000
8.328e-004	1.029e+000
8.883e-004	1.031e+000
9.438e-004	1.032e+000
9.993e-004	1.033e+000
1.055e-003	1.034e+000
1.110e-003	1.036e+000
1.166e-003	1.037e+000
1.221e-003	1.038e+000
1.277e-003	1.039e+000
1.332e-003	1.041e+000
1.388e-003	1.042e+000
1.443e-003	1.044e+000
1.499e-003	1.045e+000
1.555e-003	1.046e+000
1.610e-003	1.048e+000
1.666e-003	1.049e+000
1.721e-003	1.050e+000
1.777e-003	1.052e+000
1.832e-003	1.053e+000
1.888e-003	1.055e+000
1.943e-003	1.056e+000
1.999e-003	1.057e+000
2.054e-003	1.058e+000
2.110e-003	1.059e+000
2.165e-003	1.060e+000
2.221e-003	1.061e+000
2.276e-003	1.062e+000
2.332e-003	1.064e+000
2.387e-003	1.064e+000
2.443e-003	1.066e+000
2.498e-003	1.066e+000
2.554e-003	1.067e+000
2.609e-003	1.068e+000
2.665e-003	1.070e+000
2.720e-003	1.071e+000
2.776e-003	1.072e+000
2.831e-003	1.072e+000
2.887e-003	1.073e+000
2.943e-003	1.074e+000
2.998e-003	1.075e+000
3.054e-003	1.076e+000
3.109e-003	1.077e+000
3.165e-003	1.077e+000
3.220e-003	1.078e+000
3.276e-003	1.079e+000
3.331e-003	1.080e+000
3.387e-003	1.081e+000
3.442e-003	1.082e+000
3.498e-003	1.082e+000
3.553e-003	1.083e+000
3.609e-003	1.084e+000
3.664e-003	1.085e+000
3.720e-003	1.086e+000
3.775e-003	1.087e+000
3.831e-003	1.087e+000
3.886e-003	1.088e+000
3.942e-003	1.089e+000
3.997e-003	1.090e+000
4.053e-003	1.090e+000
4.108e-003	1.091e+000
4.164e-003	1.091e+000
4.219e-003	1.092e+000
4.275e-003	1.093e+000
4.330e-003	1.093e+000
4.386e-003	1.094e+000
4.442e-003	1.094e+000
4.497e-003	1.094e+000
4.553e-003	1.095e+000
4.608e-003	1.095e+000
4.664e-003	1.095e+000
4.719e-003	1.096e+000
4.775e-003	1.096e+000
4.830e-003	1.096e+000
4.886e-003	1.096e+000
4.941e-003	1.097e+000
4.997e-003	1.097e+000
5.052e-003	1.097e+000
5.108e-003	1.098e+000
5.163e-003	1.098e+000
5.219e-003	1.098e+000
5.274e-003	1.099e+000
5.330e-003	1.099e+000
5.385e-003	1.100e+000
5.441e-003	1.100e+000
5.496e-003	1.101e+000
5.552e-003	1.101e+000
5.607e-003	1.102e+000
5.663e-003	1.102e+000
5.718e-003	1.103e+000
5.774e-003	1.103e+000
5.830e-003	1.104e+000
5.885e-003	1.104e+000
5.941e-003	1.105e+000
5.996e-003	1.105e+000
6.052e-003	1.105e+000
6.107e-003	1.106e+000
6.163e-003	1.107e+000
6.218e-003	1.107e+000
6.274e-003	1.108e+000
6.329e-003	1.108e+000
6.385e-003	1.108e+000
6.440e-003	1.109e+000
6.496e-003	1.109e+000
6.551e-003	1.110e+000
6.607e-003	1.110e+000
6.662e-003	1.110e+000
6.718e-003	1.111e+000
