XY
	CURVE (PWRDISCHARGE_#1.DTA)
-5.558e-005	5.003e-001
-1.112e-004	4.075e-001
-1.667e-004	3.899e-001
-2.223e-004	3.841e-001
-2.779e-004	3.817e-001
-3.335e-004	3.805e-001
-3.890e-004	3.798e-001
-4.446e-004	3.795e-001
-5.002e-004	3.794e-001
-5.558e-004	3.793e-001
-6.114e-004	3.789e-001
-6.669e-004	3.784e-001
-7.225e-004	3.782e-001
-7.781e-004	3.776e-001
-8.337e-004	3.768e-001
-8.893e-004	3.763e-001
-9.448e-004	3.755e-001
-1.000e-003	3.747e-001
-1.056e-003	3.740e-001
-1.112e-003	3.734e-001
-1.167e-003	3.730e-001
-1.223e-003	3.721e-001
-1.278e-003	3.718e-001
-1.334e-003	3.714e-001
-1.389e-003	3.711e-001
-1.445e-003	3.707e-001
-1.501e-003	3.703e-001
-1.556e-003	3.699e-001
-1.612e-003	3.694e-001
-1.667e-003	3.688e-001
-1.723e-003	3.686e-001
-1.779e-003	3.682e-001
-1.834e-003	3.676e-001
-1.890e-003	3.672e-001
-1.945e-003	3.670e-001
-2.001e-003	3.666e-001
-2.056e-003	3.661e-001
-2.112e-003	3.656e-001
-2.168e-003	3.651e-001
-2.223e-003	3.650e-001
-2.279e-003	3.649e-001
-2.334e-003	3.649e-001
-2.390e-003	3.645e-001
-2.445e-003	3.642e-001
-2.501e-003	3.639e-001
-2.557e-003	3.635e-001
-2.612e-003	3.630e-001
-2.668e-003	3.624e-001
-2.723e-003	3.618e-001
-2.779e-003	3.613e-001
-2.835e-003	3.608e-001
-2.890e-003	3.603e-001
-2.946e-003	3.600e-001
-3.001e-003	3.595e-001
-3.057e-003	3.590e-001
-3.112e-003	3.586e-001
-3.168e-003	3.583e-001
-3.224e-003	3.578e-001
-3.279e-003	3.576e-001
-3.335e-003	3.575e-001
-3.390e-003	3.573e-001
-3.446e-003	3.568e-001
-3.501e-003	3.562e-001
-3.557e-003	3.558e-001
-3.613e-003	3.554e-001
-3.668e-003	3.553e-001
-3.724e-003	3.547e-001
-3.779e-003	3.541e-001
-3.835e-003	3.537e-001
-3.890e-003	3.530e-001
-3.946e-003	3.524e-001
-4.002e-003	3.518e-001
-4.057e-003	3.514e-001
-4.113e-003	3.511e-001
-4.168e-003	3.506e-001
-4.224e-003	3.499e-001
-4.280e-003	3.496e-001
-4.335e-003	3.494e-001
-4.391e-003	3.489e-001
-4.446e-003	3.483e-001
-4.502e-003	3.477e-001
-4.557e-003	3.474e-001
-4.613e-003	3.468e-001
-4.669e-003	3.462e-001
-4.724e-003	3.455e-001
-4.780e-003	3.447e-001
-4.835e-003	3.440e-001
-4.891e-003	3.432e-001
-4.946e-003	3.426e-001
-5.002e-003	3.424e-001
-5.058e-003	3.420e-001
-5.113e-003	3.416e-001
-5.169e-003	3.408e-001
-5.224e-003	3.401e-001
-5.280e-003	3.397e-001
-5.336e-003	3.393e-001
-5.391e-003	3.388e-001
-5.447e-003	3.382e-001
-5.502e-003	3.377e-001
-5.558e-003	3.371e-001
-5.613e-003	3.363e-001
-5.669e-003	3.359e-001
-5.725e-003	3.350e-001
-5.780e-003	3.343e-001
-5.836e-003	3.338e-001
-5.891e-003	3.333e-001
-5.947e-003	3.328e-001
-6.002e-003	3.319e-001
-6.058e-003	3.314e-001
-6.114e-003	3.311e-001
-6.169e-003	3.306e-001
-6.225e-003	3.302e-001
-6.280e-003	3.298e-001
-6.336e-003	3.290e-001
-6.392e-003	3.281e-001
-6.447e-003	3.270e-001
-6.503e-003	3.263e-001
-6.558e-003	3.260e-001
-6.614e-003	3.255e-001
-6.669e-003	3.254e-001
-6.725e-003	3.252e-001
-6.781e-003	3.249e-001
-6.836e-003	3.245e-001
-6.892e-003	3.235e-001
-6.947e-003	3.233e-001
-7.003e-003	3.226e-001
-7.058e-003	3.217e-001
-7.114e-003	3.210e-001
-7.170e-003	3.205e-001
-7.225e-003	3.197e-001
-7.281e-003	3.185e-001
-7.336e-003	3.179e-001
-7.392e-003	3.176e-001
-7.448e-003	3.175e-001
-7.503e-003	3.173e-001
-7.559e-003	3.171e-001
-7.614e-003	3.170e-001
-7.670e-003	3.167e-001
-7.725e-003	3.160e-001
-7.781e-003	3.152e-001
-7.837e-003	3.141e-001
-7.892e-003	3.134e-001
-7.948e-003	3.136e-001
-8.003e-003	3.132e-001
-8.059e-003	3.128e-001
-8.114e-003	3.122e-001
-8.170e-003	3.114e-001
-8.226e-003	3.103e-001
-8.281e-003	3.093e-001
-8.337e-003	3.087e-001
-8.392e-003	3.084e-001
-8.448e-003	3.081e-001
-8.504e-003	3.077e-001
-8.559e-003	3.071e-001
-8.615e-003	3.059e-001
-8.670e-003	3.049e-001
-8.726e-003	3.046e-001
-8.781e-003	3.046e-001
-8.837e-003	3.047e-001
-8.893e-003	3.038e-001
-8.948e-003	3.031e-001
-9.004e-003	3.022e-001
-9.059e-003	3.011e-001
-9.115e-003	3.006e-001
-9.170e-003	2.998e-001
-9.226e-003	2.987e-001
-9.282e-003	2.981e-001
-9.337e-003	2.981e-001
-9.393e-003	2.981e-001
-9.448e-003	2.977e-001
-9.504e-003	2.975e-001
-9.560e-003	2.973e-001
-9.615e-003	2.966e-001
-9.671e-003	2.960e-001
-9.726e-003	2.955e-001
-9.782e-003	2.948e-001
-9.837e-003	2.940e-001
-9.893e-003	2.940e-001
-9.949e-003	2.938e-001
-1.000e-002	2.938e-001
-1.006e-002	2.935e-001
-1.012e-002	2.926e-001
-1.017e-002	2.925e-001
-1.023e-002	2.919e-001
-1.028e-002	2.911e-001
-1.034e-002	2.903e-001
-1.039e-002	2.894e-001
-1.045e-002	2.890e-001
-1.050e-002	2.886e-001
-1.056e-002	2.882e-001
-1.062e-002	2.879e-001
-1.067e-002	2.865e-001
-1.073e-002	2.845e-001
-1.078e-002	2.837e-001
-1.084e-002	2.833e-001
-1.089e-002	2.832e-001
-1.095e-002	2.831e-001
-1.100e-002	2.827e-001
-1.106e-002	2.824e-001
-1.112e-002	2.823e-001
-1.117e-002	2.820e-001
-1.123e-002	2.807e-001
-1.128e-002	2.802e-001
-1.134e-002	2.791e-001
-1.139e-002	2.777e-001
-1.145e-002	2.773e-001
-1.150e-002	2.770e-001
-1.156e-002	2.770e-001
-1.162e-002	2.765e-001
-1.167e-002	2.759e-001
-1.173e-002	2.750e-001
-1.178e-002	2.741e-001
-1.184e-002	2.737e-001
-1.189e-002	2.728e-001
-1.195e-002	2.728e-001
-1.200e-002	2.728e-001
-1.206e-002	2.728e-001
-1.212e-002	2.723e-001
-1.217e-002	2.711e-001
-1.223e-002	2.703e-001
-1.228e-002	2.692e-001
-1.234e-002	2.678e-001
-1.239e-002	2.679e-001
-1.245e-002	2.675e-001
-1.251e-002	2.667e-001
-1.256e-002	2.658e-001
-1.262e-002	2.651e-001
-1.267e-002	2.647e-001
-1.273e-002	2.637e-001
-1.278e-002	2.632e-001
-1.284e-002	2.615e-001
-1.289e-002	2.604e-001
-1.295e-002	2.601e-001
-1.301e-002	2.599e-001
-1.306e-002	2.596e-001
-1.312e-002	2.595e-001
-1.317e-002	2.585e-001
-1.323e-002	2.580e-001
-1.328e-002	2.577e-001
-1.334e-002	2.561e-001
-1.339e-002	2.548e-001
-1.345e-002	2.542e-001
-1.351e-002	2.540e-001
-1.356e-002	2.537e-001
-1.362e-002	2.537e-001
-1.367e-002	2.532e-001
-1.373e-002	2.527e-001
-1.378e-002	2.522e-001
-1.384e-002	2.516e-001
-1.389e-002	2.506e-001
-1.395e-002	2.493e-001
-1.401e-002	2.476e-001
-1.406e-002	2.470e-001
-1.412e-002	2.465e-001
-1.417e-002	2.458e-001
-1.423e-002	2.450e-001
-1.428e-002	2.450e-001
-1.434e-002	2.440e-001
-1.439e-002	2.429e-001
-1.445e-002	2.423e-001
-1.451e-002	2.414e-001
-1.456e-002	2.410e-001
-1.462e-002	2.403e-001
-1.467e-002	2.394e-001
-1.473e-002	2.386e-001
-1.478e-002	2.376e-001
-1.484e-002	2.368e-001
-1.490e-002	2.366e-001
-1.495e-002	2.364e-001
-1.501e-002	2.361e-001
-1.506e-002	2.355e-001
-1.512e-002	2.344e-001
-1.517e-002	2.334e-001
-1.523e-002	2.328e-001
-1.528e-002	2.304e-001
-1.534e-002	2.293e-001
-1.540e-002	2.293e-001
-1.545e-002	2.276e-001
-1.551e-002	2.272e-001
-1.556e-002	2.267e-001
-1.562e-002	2.264e-001
-1.567e-002	2.259e-001
-1.573e-002	2.256e-001
-1.578e-002	2.242e-001
-1.584e-002	2.223e-001
-1.590e-002	2.217e-001
-1.595e-002	2.214e-001
-1.601e-002	2.216e-001
-1.606e-002	2.219e-001
-1.612e-002	2.223e-001
-1.617e-002	2.225e-001
-1.623e-002	2.214e-001
-1.628e-002	2.208e-001
-1.634e-002	2.195e-001
-1.640e-002	2.181e-001
-1.645e-002	2.179e-001
-1.651e-002	2.164e-001
-1.656e-002	2.154e-001
