XY
	CURVE (PWRCHARGE_#1.DTA)
2.919e-002	1.500e+000
2.924e-002	1.500e+000
2.929e-002	1.500e+000
2.934e-002	1.500e+000
2.939e-002	1.500e+000
2.944e-002	1.500e+000
2.949e-002	1.500e+000
2.954e-002	1.500e+000
2.959e-002	1.500e+000
2.963e-002	1.500e+000
2.967e-002	1.500e+000
2.972e-002	1.500e+000
2.976e-002	1.500e+000
2.980e-002	1.500e+000
2.984e-002	1.500e+000
2.988e-002	1.500e+000
2.992e-002	1.500e+000
2.995e-002	1.500e+000
2.999e-002	1.500e+000
3.003e-002	1.500e+000
3.006e-002	1.500e+000
3.010e-002	1.500e+000
3.013e-002	1.500e+000
3.016e-002	1.500e+000
3.019e-002	1.500e+000
3.023e-002	1.500e+000
3.026e-002	1.500e+000
3.029e-002	1.500e+000
3.031e-002	1.500e+000
3.034e-002	1.500e+000
3.037e-002	1.500e+000
3.040e-002	1.500e+000
3.042e-002	1.500e+000
3.045e-002	1.500e+000
3.048e-002	1.500e+000
3.050e-002	1.500e+000
3.052e-002	1.500e+000
3.055e-002	1.500e+000
3.057e-002	1.500e+000
3.059e-002	1.500e+000
3.062e-002	1.500e+000
3.064e-002	1.500e+000
3.066e-002	1.500e+000
3.068e-002	1.500e+000
3.070e-002	1.500e+000
3.072e-002	1.500e+000
3.074e-002	1.500e+000
3.076e-002	1.500e+000
3.078e-002	1.500e+000
3.080e-002	1.500e+000
3.081e-002	1.500e+000
3.083e-002	1.500e+000
3.085e-002	1.500e+000
3.087e-002	1.500e+000
3.088e-002	1.500e+000
3.090e-002	1.500e+000
3.092e-002	1.500e+000
3.093e-002	1.500e+000
3.095e-002	1.500e+000
3.096e-002	1.500e+000
3.098e-002	1.500e+000
3.099e-002	1.500e+000
3.101e-002	1.500e+000
3.102e-002	1.500e+000
3.103e-002	1.500e+000
3.105e-002	1.500e+000
3.106e-002	1.500e+000
3.107e-002	1.500e+000
3.109e-002	1.500e+000
3.110e-002	1.500e+000
3.111e-002	1.500e+000
3.112e-002	1.500e+000
3.114e-002	1.500e+000
3.115e-002	1.500e+000
3.116e-002	1.500e+000
3.117e-002	1.500e+000
3.118e-002	1.500e+000
3.119e-002	1.500e+000
3.120e-002	1.500e+000
3.121e-002	1.500e+000
3.122e-002	1.500e+000
3.123e-002	1.500e+000
3.124e-002	1.500e+000
3.125e-002	1.500e+000
3.126e-002	1.500e+000
3.127e-002	1.500e+000
3.128e-002	1.500e+000
3.129e-002	1.500e+000
3.130e-002	1.500e+000
3.131e-002	1.500e+000
3.132e-002	1.500e+000
3.133e-002	1.500e+000
3.134e-002	1.500e+000
3.135e-002	1.500e+000
3.135e-002	1.500e+000
3.136e-002	1.500e+000
3.137e-002	1.500e+000
3.138e-002	1.500e+000
3.139e-002	1.500e+000
3.140e-002	1.500e+000
3.140e-002	1.500e+000
3.141e-002	1.500e+000
3.142e-002	1.500e+000
3.143e-002	1.500e+000
3.143e-002	1.500e+000
3.144e-002	1.500e+000
3.145e-002	1.500e+000
3.146e-002	1.500e+000
3.146e-002	1.500e+000
3.147e-002	1.500e+000
	
