XY
	CURVE (PWRDISCHARGE_#1.DTA)
-1.391e-004	1.908e-001
-2.782e-004	1.139e-001
-4.174e-004	1.021e-001
-5.565e-004	9.843e-002
-6.956e-004	9.664e-002
-8.347e-004	9.534e-002
-9.738e-004	9.424e-002
-1.113e-003	9.285e-002
-1.252e-003	9.213e-002
-1.391e-003	9.112e-002
-1.530e-003	8.930e-002
-1.669e-003	8.776e-002
-1.809e-003	8.624e-002
-1.948e-003	8.495e-002
-2.087e-003	8.382e-002
-2.226e-003	8.209e-002
-2.365e-003	8.045e-002
-2.504e-003	7.857e-002
-2.643e-003	7.727e-002
-2.782e-003	7.619e-002
-2.921e-003	7.474e-002
-3.061e-003	7.261e-002
-3.200e-003	7.053e-002
-3.339e-003	6.877e-002
-3.478e-003	6.693e-002
-3.617e-003	6.516e-002
-3.756e-003	6.229e-002
-3.895e-003	6.033e-002
-4.034e-003	5.962e-002
-4.174e-003	5.822e-002
-4.313e-003	5.576e-002
-4.452e-003	5.304e-002
-4.493e-003	5.152e-002
-4.591e-003	5.151e-002
-4.729e-003	5.009e-002
-4.867e-003	4.985e-002
-5.004e-003	5.004e-002
-5.141e-003	5.032e-002
-5.278e-003	4.974e-002
-5.415e-003	5.035e-002
-5.551e-003	4.977e-002
-5.686e-003	4.983e-002
-5.821e-003	5.006e-002
-5.956e-003	4.972e-002
-6.090e-003	4.981e-002
-6.223e-003	4.985e-002
-6.356e-003	4.985e-002
-6.488e-003	4.992e-002
-6.620e-003	4.990e-002
-6.751e-003	4.986e-002
-6.882e-003	4.990e-002
-7.013e-003	4.993e-002
-7.143e-003	4.987e-002
-7.273e-003	4.988e-002
-7.402e-003	4.988e-002
-7.530e-003	4.987e-002
-7.658e-003	4.985e-002
-7.785e-003	4.993e-002
-7.912e-003	4.992e-002
-8.039e-003	4.992e-002
-8.166e-003	4.991e-002
-8.292e-003	4.991e-002
-8.418e-003	4.990e-002
-8.544e-003	4.985e-002
-8.669e-003	4.985e-002
-8.793e-003	4.993e-002
-8.916e-003	4.988e-002
-9.040e-003	4.991e-002
-9.163e-003	4.991e-002
-9.286e-003	4.985e-002
-9.408e-003	4.990e-002
-9.529e-003	4.990e-002
-9.651e-003	4.990e-002
-9.771e-003	4.989e-002
-9.892e-003	4.990e-002
-1.001e-002	4.990e-002
-1.013e-002	4.986e-002
-1.025e-002	4.991e-002
-1.037e-002	4.990e-002
-1.049e-002	4.990e-002
-1.060e-002	4.992e-002
-1.072e-002	4.988e-002
-1.084e-002	4.988e-002
-1.096e-002	4.989e-002
-1.107e-002	4.990e-002
-1.119e-002	4.991e-002
-1.130e-002	4.990e-002
-1.142e-002	4.991e-002
-1.153e-002	4.987e-002
-1.165e-002	4.989e-002
-1.176e-002	4.990e-002
-1.187e-002	4.990e-002
-1.199e-002	4.987e-002
-1.210e-002	4.992e-002
-1.221e-002	4.989e-002
-1.232e-002	4.988e-002
-1.243e-002	4.990e-002
-1.254e-002	4.991e-002
-1.265e-002	4.987e-002
-1.276e-002	4.989e-002
-1.287e-002	4.993e-002
-1.298e-002	4.994e-002
-1.309e-002	4.991e-002
-1.320e-002	4.989e-002
-1.331e-002	4.980e-002
-1.342e-002	4.983e-002
-1.352e-002	4.996e-002
-1.363e-002	4.996e-002
-1.373e-002	4.990e-002
-1.384e-002	4.994e-002
-1.395e-002	4.987e-002
-1.405e-002	4.991e-002
-1.416e-002	4.991e-002
-1.426e-002	4.991e-002
-1.437e-002	4.989e-002
-1.447e-002	4.991e-002
-1.457e-002	4.987e-002
-1.468e-002	4.983e-002
-1.478e-002	4.995e-002
-1.488e-002	4.991e-002
-1.498e-002	4.991e-002
-1.509e-002	4.983e-002
-1.519e-002	4.988e-002
-1.529e-002	4.989e-002
-1.539e-002	4.995e-002
-1.549e-002	4.992e-002
-1.559e-002	4.991e-002
-1.568e-002	4.987e-002
-1.578e-002	4.994e-002
-1.588e-002	4.993e-002
-1.598e-002	4.993e-002
-1.608e-002	4.988e-002
-1.618e-002	4.988e-002
-1.628e-002	4.990e-002
-1.637e-002	4.985e-002
-1.647e-002	4.991e-002
-1.656e-002	4.989e-002
-1.666e-002	4.987e-002
-1.675e-002	4.989e-002
-1.685e-002	4.993e-002
-1.694e-002	4.994e-002
-1.704e-002	4.981e-002
-1.713e-002	4.988e-002
-1.722e-002	4.991e-002
-1.731e-002	4.990e-002
-1.741e-002	4.988e-002
-1.750e-002	4.991e-002
-1.759e-002	4.996e-002
-1.768e-002	4.989e-002
-1.777e-002	4.989e-002
-1.786e-002	4.987e-002
-1.795e-002	4.987e-002
-1.804e-002	4.996e-002
-1.813e-002	4.992e-002
-1.822e-002	4.994e-002
-1.831e-002	4.989e-002
-1.839e-002	4.989e-002
-1.848e-002	4.980e-002
-1.857e-002	4.986e-002
-1.865e-002	4.993e-002
-1.874e-002	4.991e-002
-1.883e-002	4.993e-002
-1.891e-002	4.991e-002
-1.900e-002	4.994e-002
-1.908e-002	4.991e-002
-1.917e-002	4.996e-002
-1.925e-002	4.990e-002
-1.934e-002	4.989e-002
-1.942e-002	4.988e-002
-1.951e-002	4.983e-002
-1.959e-002	4.993e-002
-1.967e-002	4.992e-002
-1.975e-002	4.988e-002
-1.984e-002	4.987e-002
-1.992e-002	4.994e-002
-2.000e-002	4.987e-002
-2.008e-002	4.992e-002
-2.016e-002	4.980e-002
-2.024e-002	4.991e-002
-2.032e-002	4.988e-002
-2.040e-002	4.989e-002
-2.047e-002	4.991e-002
-2.055e-002	4.994e-002
-2.063e-002	4.994e-002
-2.071e-002	4.994e-002
-2.078e-002	4.989e-002
-2.086e-002	4.992e-002
-2.094e-002	4.985e-002
-2.101e-002	4.992e-002
-2.109e-002	4.989e-002
-2.117e-002	4.989e-002
-2.124e-002	4.983e-002
-2.132e-002	4.988e-002
-2.139e-002	4.995e-002
-2.146e-002	4.984e-002
-2.154e-002	4.992e-002
-2.161e-002	4.992e-002
-2.168e-002	4.993e-002
-2.175e-002	4.987e-002
-2.182e-002	4.986e-002
-2.190e-002	4.989e-002
-2.197e-002	4.993e-002
-2.204e-002	4.990e-002
-2.211e-002	4.996e-002
-2.218e-002	4.988e-002
-2.225e-002	4.986e-002
-2.232e-002	4.996e-002
-2.239e-002	4.993e-002
-2.245e-002	4.991e-002
-2.252e-002	4.978e-002
-2.259e-002	4.989e-002
-2.266e-002	4.988e-002
-2.272e-002	4.991e-002
-2.279e-002	4.992e-002
-2.286e-002	4.992e-002
-2.292e-002	4.993e-002
-2.299e-002	4.984e-002
-2.305e-002	4.990e-002
-2.312e-002	4.989e-002
-2.318e-002	4.986e-002
-2.324e-002	4.991e-002
-2.330e-002	4.988e-002
-2.337e-002	4.987e-002
-2.343e-002	4.982e-002
-2.349e-002	4.984e-002
-2.355e-002	4.996e-002
-2.361e-002	4.993e-002
-2.367e-002	4.995e-002
-2.373e-002	4.994e-002
-2.379e-002	4.990e-002
-2.385e-002	4.988e-002
-2.390e-002	4.992e-002
-2.396e-002	4.992e-002
-2.402e-002	4.992e-002
-2.408e-002	4.990e-002
-2.414e-002	4.990e-002
-2.420e-002	4.988e-002
-2.425e-002	4.987e-002
-2.431e-002	4.981e-002
-2.436e-002	4.989e-002
-2.442e-002	4.988e-002
-2.447e-002	4.993e-002
-2.453e-002	4.987e-002
-2.458e-002	4.984e-002
-2.463e-002	4.989e-002
-2.468e-002	4.990e-002
-2.474e-002	4.997e-002
-2.479e-002	4.979e-002
-2.484e-002	4.990e-002
-2.489e-002	4.983e-002
-2.494e-002	4.998e-002
-2.499e-002	4.996e-002
-2.503e-002	4.989e-002
-2.508e-002	4.993e-002
-2.513e-002	4.990e-002
-2.518e-002	4.995e-002
-2.523e-002	4.985e-002
-2.528e-002	4.988e-002
-2.533e-002	4.988e-002
-2.537e-002	4.990e-002
-2.542e-002	4.988e-002
-2.546e-002	4.985e-002
-2.551e-002	4.984e-002
-2.555e-002	4.990e-002
-2.560e-002	4.996e-002
-2.564e-002	4.984e-002
-2.568e-002	4.993e-002
-2.573e-002	4.990e-002
-2.577e-002	4.985e-002
-2.581e-002	4.989e-002
-2.585e-002	4.991e-002
-2.589e-002	4.990e-002
-2.593e-002	4.993e-002
-2.597e-002	4.993e-002
-2.601e-002	4.988e-002
-2.605e-002	4.993e-002
-2.609e-002	4.987e-002
-2.613e-002	4.994e-002
-2.617e-002	4.987e-002
-2.621e-002	4.991e-002
-2.625e-002	4.990e-002
-2.628e-002	4.993e-002
-2.632e-002	4.989e-002
-2.636e-002	4.988e-002
-2.640e-002	4.989e-002
-2.643e-002	4.989e-002
-2.647e-002	4.989e-002
-2.650e-002	4.987e-002
-2.654e-002	4.984e-002
-2.657e-002	4.993e-002
-2.660e-002	4.989e-002
-2.664e-002	4.990e-002
-2.667e-002	4.992e-002
-2.670e-002	4.987e-002
-2.673e-002	4.987e-002
-2.676e-002	4.987e-002
-2.679e-002	4.995e-002
-2.682e-002	4.996e-002
-2.685e-002	4.992e-002
-2.689e-002	4.988e-002
-2.691e-002	4.987e-002
-2.694e-002	4.990e-002
-2.697e-002	4.985e-002
-2.700e-002	4.991e-002
-2.703e-002	4.988e-002
-2.706e-002	4.994e-002
-2.708e-002	4.991e-002
-2.711e-002	4.988e-002
-2.714e-002	4.991e-002
-2.716e-002	4.990e-002
-2.719e-002	4.990e-002
-2.721e-002	4.988e-002
-2.724e-002	4.987e-002
-2.726e-002	4.988e-002
-2.729e-002	4.992e-002
-2.731e-002	4.991e-002
-2.733e-002	4.990e-002
-2.736e-002	4.988e-002
-2.738e-002	4.992e-002
-2.740e-002	4.992e-002
-2.742e-002	4.992e-002
-2.744e-002	4.989e-002
-2.746e-002	4.990e-002
-2.749e-002	4.990e-002
-2.751e-002	4.990e-002
-2.753e-002	4.992e-002
-2.755e-002	4.991e-002
-2.757e-002	4.990e-002
-2.759e-002	4.990e-002
-2.761e-002	4.992e-002
-2.762e-002	4.992e-002
-2.764e-002	4.991e-002
-2.766e-002	4.990e-002
-2.768e-002	4.991e-002
-2.770e-002	4.990e-002
-2.772e-002	4.991e-002
