XY
	CURVE (PWRDISCHARGE_#1.DTA)
-2.068e-002	4.998e-002
-2.075e-002	4.984e-002
-2.081e-002	4.997e-002
-2.087e-002	4.996e-002
-2.093e-002	4.996e-002
-2.100e-002	4.996e-002
-2.106e-002	5.000e-002
-2.112e-002	4.995e-002
-2.118e-002	4.995e-002
-2.124e-002	4.997e-002
-2.130e-002	4.999e-002
-2.136e-002	4.994e-002
-2.142e-002	5.000e-002
-2.148e-002	4.994e-002
-2.154e-002	4.988e-002
-2.160e-002	4.979e-002
-2.165e-002	4.996e-002
-2.171e-002	5.007e-002
-2.176e-002	4.998e-002
-2.182e-002	5.004e-002
-2.188e-002	4.998e-002
-2.193e-002	5.002e-002
-2.199e-002	4.994e-002
-2.205e-002	4.987e-002
-2.210e-002	4.999e-002
-2.216e-002	4.996e-002
-2.222e-002	4.995e-002
-2.227e-002	4.993e-002
-2.233e-002	4.994e-002
-2.238e-002	4.995e-002
-2.243e-002	5.002e-002
-2.249e-002	5.001e-002
-2.254e-002	4.992e-002
-2.260e-002	4.991e-002
-2.265e-002	4.996e-002
-2.270e-002	5.000e-002
-2.275e-002	4.996e-002
-2.281e-002	4.994e-002
-2.286e-002	4.993e-002
-2.291e-002	4.998e-002
-2.296e-002	4.997e-002
-2.301e-002	4.984e-002
-2.306e-002	4.996e-002
-2.311e-002	5.001e-002
-2.316e-002	5.005e-002
-2.321e-002	4.991e-002
-2.325e-002	4.994e-002
-2.330e-002	4.996e-002
-2.335e-002	4.995e-002
-2.340e-002	4.997e-002
-2.345e-002	5.001e-002
-2.350e-002	4.996e-002
-2.354e-002	4.991e-002
-2.359e-002	4.995e-002
-2.363e-002	4.997e-002
-2.368e-002	4.998e-002
-2.373e-002	4.995e-002
-2.377e-002	5.003e-002
-2.382e-002	4.992e-002
-2.387e-002	5.002e-002
-2.391e-002	4.999e-002
-2.396e-002	4.998e-002
-2.401e-002	4.996e-002
-2.406e-002	4.995e-002
-2.410e-002	4.994e-002
-2.415e-002	4.997e-002
-2.419e-002	4.997e-002
-2.424e-002	4.986e-002
-2.428e-002	4.993e-002
-2.432e-002	4.999e-002
-2.436e-002	5.001e-002
-2.441e-002	4.994e-002
-2.445e-002	5.001e-002
-2.449e-002	4.997e-002
-2.454e-002	4.997e-002
-2.458e-002	4.994e-002
-2.462e-002	5.000e-002
-2.467e-002	4.994e-002
-2.471e-002	4.999e-002
-2.475e-002	4.996e-002
-2.479e-002	4.994e-002
-2.483e-002	4.993e-002
-2.487e-002	4.995e-002
-2.491e-002	4.986e-002
-2.495e-002	4.991e-002
-2.499e-002	5.005e-002
-2.503e-002	5.003e-002
-2.507e-002	5.000e-002
-2.511e-002	4.995e-002
-2.514e-002	4.994e-002
-2.518e-002	4.999e-002
-2.522e-002	4.999e-002
-2.526e-002	4.992e-002
-2.530e-002	5.003e-002
-2.534e-002	4.994e-002
-2.538e-002	4.996e-002
-2.542e-002	4.992e-002
-2.545e-002	4.991e-002
-2.549e-002	4.999e-002
-2.553e-002	5.000e-002
-2.556e-002	4.997e-002
-2.560e-002	4.996e-002
-2.564e-002	4.997e-002
-2.567e-002	4.997e-002
-2.571e-002	4.998e-002
-2.575e-002	4.998e-002
-2.579e-002	4.997e-002
-2.582e-002	4.994e-002
-2.586e-002	4.995e-002
-2.590e-002	4.996e-002
-2.593e-002	4.998e-002
-2.597e-002	4.996e-002
-2.600e-002	4.995e-002
-2.604e-002	4.992e-002
-2.607e-002	4.996e-002
-2.610e-002	4.996e-002
-2.614e-002	4.997e-002
-2.617e-002	4.998e-002
-2.620e-002	4.999e-002
-2.624e-002	4.995e-002
-2.627e-002	4.997e-002
-2.630e-002	4.993e-002
-2.634e-002	4.993e-002
