XY
	CURVE (PWRCHARGE_#1.DTA)
1.108e-004	1.094e+000
2.217e-004	1.147e+000
3.325e-004	1.165e+000
4.433e-004	1.175e+000
5.542e-004	1.180e+000
6.650e-004	1.184e+000
7.758e-004	1.186e+000
8.867e-004	1.188e+000
9.975e-004	1.190e+000
1.108e-003	1.191e+000
1.219e-003	1.192e+000
1.330e-003	1.192e+000
1.441e-003	1.193e+000
1.552e-003	1.194e+000
1.663e-003	1.194e+000
1.773e-003	1.195e+000
1.884e-003	1.196e+000
1.995e-003	1.196e+000
2.106e-003	1.197e+000
2.217e-003	1.197e+000
2.328e-003	1.197e+000
2.438e-003	1.197e+000
2.549e-003	1.198e+000
2.660e-003	1.198e+000
2.771e-003	1.199e+000
2.882e-003	1.199e+000
2.993e-003	1.199e+000
3.103e-003	1.200e+000
3.214e-003	1.200e+000
3.325e-003	1.201e+000
3.436e-003	1.201e+000
3.547e-003	1.202e+000
3.658e-003	1.203e+000
3.768e-003	1.204e+000
3.879e-003	1.205e+000
3.990e-003	1.206e+000
4.101e-003	1.207e+000
4.212e-003	1.208e+000
4.323e-003	1.209e+000
4.433e-003	1.210e+000
4.544e-003	1.211e+000
4.655e-003	1.211e+000
4.766e-003	1.212e+000
4.877e-003	1.213e+000
4.988e-003	1.214e+000
5.098e-003	1.215e+000
5.209e-003	1.216e+000
5.320e-003	1.217e+000
5.431e-003	1.218e+000
5.542e-003	1.219e+000
5.653e-003	1.219e+000
5.763e-003	1.220e+000
5.874e-003	1.221e+000
5.985e-003	1.222e+000
6.096e-003	1.223e+000
6.207e-003	1.223e+000
6.318e-003	1.224e+000
6.428e-003	1.225e+000
6.539e-003	1.226e+000
6.650e-003	1.226e+000
6.761e-003	1.227e+000
6.872e-003	1.227e+000
6.983e-003	1.228e+000
7.093e-003	1.228e+000
7.204e-003	1.229e+000
7.315e-003	1.229e+000
7.426e-003	1.230e+000
7.537e-003	1.230e+000
7.648e-003	1.231e+000
7.759e-003	1.231e+000
7.869e-003	1.232e+000
7.980e-003	1.232e+000
8.091e-003	1.233e+000
8.202e-003	1.233e+000
8.313e-003	1.234e+000
8.424e-003	1.235e+000
8.534e-003	1.236e+000
8.645e-003	1.236e+000
8.756e-003	1.237e+000
8.867e-003	1.237e+000
8.978e-003	1.238e+000
9.089e-003	1.239e+000
9.199e-003	1.239e+000
9.310e-003	1.240e+000
9.421e-003	1.241e+000
9.532e-003	1.241e+000
9.643e-003	1.242e+000
9.754e-003	1.243e+000
9.864e-003	1.243e+000
9.975e-003	1.244e+000
1.009e-002	1.245e+000
1.020e-002	1.245e+000
1.031e-002	1.246e+000
1.042e-002	1.247e+000
1.053e-002	1.247e+000
1.064e-002	1.248e+000
1.075e-002	1.248e+000
1.086e-002	1.249e+000
1.097e-002	1.250e+000
1.108e-002	1.250e+000
1.119e-002	1.251e+000
1.131e-002	1.251e+000
1.142e-002	1.252e+000
1.153e-002	1.253e+000
1.164e-002	1.253e+000
1.175e-002	1.254e+000
1.186e-002	1.254e+000
1.197e-002	1.255e+000
1.208e-002	1.256e+000
1.219e-002	1.256e+000
1.230e-002	1.257e+000
1.241e-002	1.258e+000
1.252e-002	1.258e+000
1.264e-002	1.259e+000
1.275e-002	1.259e+000
1.286e-002	1.260e+000
1.297e-002	1.261e+000
1.308e-002	1.261e+000
1.319e-002	1.262e+000
1.330e-002	1.263e+000
1.341e-002	1.263e+000
1.352e-002	1.264e+000
1.363e-002	1.265e+000
1.374e-002	1.265e+000
1.385e-002	1.266e+000
1.397e-002	1.267e+000
1.408e-002	1.267e+000
1.419e-002	1.268e+000
1.430e-002	1.269e+000
1.441e-002	1.269e+000
1.452e-002	1.270e+000
1.463e-002	1.270e+000
1.474e-002	1.271e+000
1.485e-002	1.271e+000
1.496e-002	1.272e+000
1.507e-002	1.273e+000
1.518e-002	1.273e+000
1.530e-002	1.274e+000
1.541e-002	1.275e+000
1.552e-002	1.275e+000
1.563e-002	1.276e+000
1.574e-002	1.277e+000
1.585e-002	1.277e+000
1.596e-002	1.278e+000
1.607e-002	1.279e+000
1.618e-002	1.280e+000
1.629e-002	1.280e+000
1.640e-002	1.281e+000
1.651e-002	1.282e+000
1.663e-002	1.282e+000
1.674e-002	1.283e+000
1.685e-002	1.284e+000
1.696e-002	1.284e+000
1.707e-002	1.285e+000
1.718e-002	1.286e+000
1.729e-002	1.286e+000
1.740e-002	1.287e+000
1.751e-002	1.288e+000
1.762e-002	1.289e+000
1.773e-002	1.290e+000
1.784e-002	1.290e+000
1.796e-002	1.291e+000
1.807e-002	1.291e+000
1.818e-002	1.292e+000
1.829e-002	1.293e+000
1.840e-002	1.294e+000
1.851e-002	1.295e+000
1.862e-002	1.296e+000
1.873e-002	1.296e+000
1.884e-002	1.297e+000
1.895e-002	1.298e+000
1.906e-002	1.299e+000
1.917e-002	1.300e+000
1.929e-002	1.301e+000
1.940e-002	1.302e+000
1.951e-002	1.302e+000
1.962e-002	1.303e+000
1.973e-002	1.304e+000
1.984e-002	1.305e+000
1.995e-002	1.306e+000
2.006e-002	1.307e+000
2.017e-002	1.308e+000
2.028e-002	1.309e+000
2.039e-002	1.310e+000
2.050e-002	1.311e+000
2.062e-002	1.312e+000
2.073e-002	1.314e+000
2.084e-002	1.315e+000
2.095e-002	1.316e+000
2.106e-002	1.317e+000
2.117e-002	1.318e+000
2.128e-002	1.319e+000
2.139e-002	1.320e+000
2.150e-002	1.321e+000
2.161e-002	1.323e+000
2.172e-002	1.324e+000
2.183e-002	1.325e+000
2.195e-002	1.326e+000
2.206e-002	1.328e+000
2.217e-002	1.329e+000
2.228e-002	1.331e+000
2.239e-002	1.332e+000
2.250e-002	1.334e+000
2.261e-002	1.335e+000
2.272e-002	1.337e+000
2.283e-002	1.338e+000
2.294e-002	1.340e+000
2.305e-002	1.342e+000
2.316e-002	1.344e+000
2.328e-002	1.346e+000
2.339e-002	1.347e+000
2.350e-002	1.349e+000
2.361e-002	1.352e+000
2.372e-002	1.354e+000
2.383e-002	1.356e+000
2.394e-002	1.359e+000
2.405e-002	1.361e+000
2.416e-002	1.364e+000
2.427e-002	1.367e+000
2.438e-002	1.370e+000
2.450e-002	1.374e+000
2.461e-002	1.377e+000
2.472e-002	1.380e+000
2.483e-002	1.384e+000
2.494e-002	1.389e+000
2.505e-002	1.393e+000
2.516e-002	1.398e+000
2.527e-002	1.403e+000
2.538e-002	1.409e+000
2.549e-002	1.415e+000
2.560e-002	1.423e+000
2.571e-002	1.431e+000
2.583e-002	1.440e+000
2.594e-002	1.450e+000
2.605e-002	1.462e+000
2.616e-002	1.474e+000
2.627e-002	1.490e+000
2.628e-002	1.499e+000
2.638e-002	1.500e+000
2.648e-002	1.500e+000
2.659e-002	1.500e+000
2.669e-002	1.500e+000
2.679e-002	1.500e+000
2.689e-002	1.500e+000
2.699e-002	1.500e+000
2.708e-002	1.500e+000
2.718e-002	1.500e+000
2.727e-002	1.500e+000
2.735e-002	1.500e+000
2.744e-002	1.500e+000
2.753e-002	1.500e+000
2.761e-002	1.500e+000
2.769e-002	1.500e+000
2.777e-002	1.500e+000
2.784e-002	1.500e+000
2.792e-002	1.500e+000
2.799e-002	1.500e+000
2.806e-002	1.500e+000
2.813e-002	1.500e+000
2.820e-002	1.500e+000
2.826e-002	1.500e+000
2.833e-002	1.500e+000
2.839e-002	1.500e+000
2.845e-002	1.500e+000
2.851e-002	1.500e+000
2.857e-002	1.500e+000
2.862e-002	1.500e+000
2.868e-002	1.500e+000
2.873e-002	1.500e+000
2.878e-002	1.500e+000
2.883e-002	1.500e+000
2.888e-002	1.500e+000
2.893e-002	1.500e+000
2.898e-002	1.500e+000
2.902e-002	1.500e+000
2.907e-002	1.500e+000
2.911e-002	1.500e+000
2.915e-002	1.500e+000
2.919e-002	1.500e+000
2.923e-002	1.500e+000
2.927e-002	1.500e+000
2.931e-002	1.500e+000
2.935e-002	1.500e+000
2.938e-002	1.500e+000
2.942e-002	1.500e+000
2.945e-002	1.500e+000
2.948e-002	1.500e+000
2.951e-002	1.500e+000
2.954e-002	1.500e+000
2.958e-002	1.500e+000
2.960e-002	1.500e+000
2.963e-002	1.500e+000
2.966e-002	1.500e+000
2.969e-002	1.500e+000
2.972e-002	1.500e+000
2.974e-002	1.500e+000
2.977e-002	1.500e+000
2.979e-002	1.500e+000
2.982e-002	1.500e+000
2.984e-002	1.500e+000
2.986e-002	1.500e+000
2.988e-002	1.500e+000
2.991e-002	1.500e+000
2.993e-002	1.500e+000
2.995e-002	1.500e+000
2.997e-002	1.500e+000
2.999e-002	1.500e+000
3.001e-002	1.500e+000
3.002e-002	1.500e+000
3.004e-002	1.500e+000
3.006e-002	1.500e+000
3.008e-002	1.500e+000
3.009e-002	1.500e+000
3.011e-002	1.500e+000
