XY
	CURVE (PWRDISCHARGE_#1.DTA)
-8.357e-005	3.616e-001
-1.671e-004	2.911e-001
-2.507e-004	2.812e-001
-3.343e-004	2.781e-001
-4.178e-004	2.768e-001
-5.014e-004	2.765e-001
-5.850e-004	2.761e-001
-6.685e-004	2.760e-001
-7.521e-004	2.764e-001
-8.357e-004	2.765e-001
-9.192e-004	2.762e-001
-1.003e-003	2.758e-001
-1.086e-003	2.752e-001
-1.170e-003	2.744e-001
-1.254e-003	2.738e-001
-1.337e-003	2.728e-001
-1.421e-003	2.718e-001
-1.504e-003	2.710e-001
-1.588e-003	2.704e-001
-1.671e-003	2.698e-001
-1.755e-003	2.693e-001
-1.838e-003	2.687e-001
-1.922e-003	2.679e-001
-2.006e-003	2.670e-001
-2.089e-003	2.661e-001
-2.173e-003	2.651e-001
-2.256e-003	2.641e-001
-2.340e-003	2.630e-001
-2.423e-003	2.619e-001
-2.507e-003	2.608e-001
-2.591e-003	2.600e-001
-2.674e-003	2.593e-001
-2.758e-003	2.584e-001
-2.841e-003	2.577e-001
-2.925e-003	2.568e-001
-3.008e-003	2.561e-001
-3.092e-003	2.550e-001
-3.176e-003	2.538e-001
-3.259e-003	2.528e-001
-3.343e-003	2.519e-001
-3.426e-003	2.512e-001
-3.510e-003	2.497e-001
-3.593e-003	2.481e-001
-3.677e-003	2.465e-001
-3.761e-003	2.458e-001
-3.844e-003	2.444e-001
-3.928e-003	2.431e-001
-4.011e-003	2.417e-001
-4.095e-003	2.407e-001
-4.178e-003	2.391e-001
-4.262e-003	2.381e-001
-4.346e-003	2.374e-001
-4.429e-003	2.363e-001
-4.513e-003	2.352e-001
-4.596e-003	2.340e-001
-4.680e-003	2.326e-001
-4.763e-003	2.311e-001
-4.847e-003	2.298e-001
-4.931e-003	2.288e-001
-5.014e-003	2.284e-001
-5.098e-003	2.272e-001
-5.181e-003	2.252e-001
-5.265e-003	2.239e-001
-5.348e-003	2.234e-001
-5.432e-003	2.230e-001
-5.516e-003	2.220e-001
-5.599e-003	2.212e-001
-5.683e-003	2.199e-001
-5.766e-003	2.179e-001
-5.850e-003	2.171e-001
-5.933e-003	2.164e-001
-6.017e-003	2.159e-001
-6.100e-003	2.146e-001
-6.184e-003	2.132e-001
-6.268e-003	2.122e-001
-6.351e-003	2.121e-001
-6.435e-003	2.109e-001
-6.518e-003	2.101e-001
-6.602e-003	2.084e-001
-6.685e-003	2.057e-001
-6.769e-003	2.041e-001
-6.853e-003	2.033e-001
-6.936e-003	2.024e-001
-7.020e-003	2.017e-001
-7.103e-003	2.005e-001
-7.187e-003	1.996e-001
-7.270e-003	1.990e-001
-7.354e-003	1.982e-001
-7.438e-003	1.975e-001
-7.521e-003	1.958e-001
-7.605e-003	1.944e-001
-7.688e-003	1.925e-001
-7.772e-003	1.914e-001
