XY
	CURVE (PWRCHARGE_#1.DTA)
8.303e-005	1.026e+000
1.661e-004	1.073e+000
2.491e-004	1.090e+000
3.321e-004	1.100e+000
4.151e-004	1.106e+000
4.982e-004	1.110e+000
5.812e-004	1.113e+000
6.642e-004	1.116e+000
7.472e-004	1.118e+000
8.303e-004	1.120e+000
9.133e-004	1.121e+000
9.963e-004	1.123e+000
1.079e-003	1.124e+000
1.162e-003	1.125e+000
1.245e-003	1.126e+000
1.328e-003	1.127e+000
1.411e-003	1.129e+000
1.494e-003	1.130e+000
1.578e-003	1.130e+000
1.661e-003	1.132e+000
1.744e-003	1.133e+000
1.827e-003	1.134e+000
1.910e-003	1.135e+000
1.993e-003	1.136e+000
2.076e-003	1.137e+000
2.159e-003	1.138e+000
2.242e-003	1.139e+000
2.325e-003	1.140e+000
2.408e-003	1.141e+000
2.491e-003	1.141e+000
2.574e-003	1.142e+000
2.657e-003	1.143e+000
2.740e-003	1.143e+000
2.823e-003	1.143e+000
2.906e-003	1.144e+000
2.989e-003	1.144e+000
3.072e-003	1.145e+000
3.155e-003	1.145e+000
3.238e-003	1.145e+000
3.321e-003	1.145e+000
3.404e-003	1.145e+000
3.487e-003	1.145e+000
3.570e-003	1.145e+000
3.653e-003	1.146e+000
3.736e-003	1.146e+000
3.819e-003	1.147e+000
3.902e-003	1.148e+000
3.985e-003	1.148e+000
4.068e-003	1.149e+000
4.151e-003	1.150e+000
4.234e-003	1.150e+000
4.317e-003	1.151e+000
4.400e-003	1.152e+000
4.483e-003	1.152e+000
4.566e-003	1.153e+000
4.650e-003	1.154e+000
4.733e-003	1.154e+000
4.816e-003	1.155e+000
4.899e-003	1.156e+000
4.982e-003	1.156e+000
5.065e-003	1.157e+000
5.148e-003	1.158e+000
5.231e-003	1.159e+000
5.314e-003	1.160e+000
5.397e-003	1.160e+000
5.480e-003	1.161e+000
5.563e-003	1.162e+000
5.646e-003	1.162e+000
5.729e-003	1.163e+000
5.812e-003	1.164e+000
5.895e-003	1.164e+000
5.978e-003	1.165e+000
6.061e-003	1.166e+000
6.144e-003	1.166e+000
6.227e-003	1.167e+000
6.310e-003	1.167e+000
6.393e-003	1.168e+000
6.476e-003	1.168e+000
6.559e-003	1.169e+000
6.642e-003	1.169e+000
6.725e-003	1.170e+000
6.808e-003	1.171e+000
6.891e-003	1.171e+000
6.974e-003	1.172e+000
7.057e-003	1.172e+000
7.140e-003	1.173e+000
7.223e-003	1.173e+000
7.306e-003	1.174e+000
7.389e-003	1.174e+000
7.472e-003	1.175e+000
7.555e-003	1.175e+000
7.639e-003	1.176e+000
7.722e-003	1.176e+000
7.805e-003	1.177e+000
7.888e-003	1.178e+000
7.971e-003	1.178e+000
8.054e-003	1.179e+000
8.137e-003	1.179e+000
8.220e-003	1.180e+000
8.303e-003	1.180e+000
8.386e-003	1.181e+000
8.469e-003	1.182e+000
8.552e-003	1.182e+000
8.635e-003	1.182e+000
8.718e-003	1.183e+000
8.801e-003	1.183e+000
8.884e-003	1.184e+000
8.967e-003	1.184e+000
9.050e-003	1.185e+000
9.133e-003	1.185e+000
9.216e-003	1.186e+000
9.299e-003	1.186e+000
9.382e-003	1.187e+000
9.465e-003	1.188e+000
9.548e-003	1.188e+000
9.631e-003	1.189e+000
9.714e-003	1.189e+000
9.797e-003	1.190e+000
9.880e-003	1.190e+000
9.963e-003	1.191e+000
1.005e-002	1.191e+000
1.013e-002	1.192e+000
1.021e-002	1.192e+000
1.030e-002	1.193e+000
1.038e-002	1.193e+000
1.046e-002	1.194e+000
1.054e-002	1.194e+000
1.063e-002	1.195e+000
1.071e-002	1.195e+000
1.079e-002	1.196e+000
1.088e-002	1.196e+000
1.096e-002	1.196e+000
1.104e-002	1.197e+000
1.113e-002	1.197e+000
1.121e-002	1.197e+000
1.129e-002	1.198e+000
1.137e-002	1.198e+000
1.146e-002	1.199e+000
1.154e-002	1.199e+000
1.162e-002	1.200e+000
1.171e-002	1.200e+000
1.179e-002	1.201e+000
1.187e-002	1.201e+000
1.196e-002	1.202e+000
1.204e-002	1.202e+000
1.212e-002	1.202e+000
1.221e-002	1.203e+000
1.229e-002	1.203e+000
1.237e-002	1.204e+000
1.245e-002	1.204e+000
1.254e-002	1.204e+000
1.262e-002	1.205e+000
1.270e-002	1.206e+000
1.279e-002	1.206e+000
1.287e-002	1.207e+000
1.295e-002	1.207e+000
1.304e-002	1.207e+000
1.312e-002	1.208e+000
1.320e-002	1.208e+000
1.328e-002	1.209e+000
1.337e-002	1.209e+000
1.345e-002	1.209e+000
1.353e-002	1.210e+000
1.362e-002	1.210e+000
1.370e-002	1.210e+000
1.378e-002	1.211e+000
1.387e-002	1.211e+000
1.395e-002	1.212e+000
1.403e-002	1.212e+000
1.411e-002	1.213e+000
